# timestamp,gyro_x,gyro_y,gyro_z,acce_x,acce_y,acce_z
1.917722765946492750e+15,2.291899999999999840e-02,4.843100000000000183e-02,6.409999999999999682e-04,1.122709003758754154e+00,9.961569999792400765e+00,-5.372032829991065794e-01
1.917722770920858000e+15,2.503999999999999976e-02,4.950000000000000233e-02,-2.547999999999999918e-03,1.136430779477022757e+00,9.957953386270531837e+00,-5.522764126704790000e-01
1.917722775834188000e+15,2.824399999999999827e-02,4.950000000000000233e-02,-1.479999999999999979e-03,1.141093571358936076e+00,9.944721571985802200e+00,-5.586632862014152545e-01
1.917722780778035250e+15,2.929700000000000013e-02,4.843100000000000183e-02,-2.547999999999999918e-03,1.151738609793143020e+00,9.936166425972729144e+00,-5.435820196011323935e-01
1.917722785691366000e+15,3.036499999999999963e-02,4.524199999999999749e-02,-3.615999999999999857e-03,1.152378998016823752e+00,9.932835284774684581e+00,-5.633720078313485535e-01
1.917722790635212750e+15,3.143300000000000261e-02,4.736300000000000232e-02,-4.683999999999999796e-03,1.151632870424212474e+00,9.922625444341329981e+00,-5.643996479104940178e-01
1.917722795579060750e+15,3.250100000000000211e-02,4.736300000000000232e-02,-4.683999999999999796e-03,1.143349722074181951e+00,9.919855537077394203e+00,-5.831848337547999028e-01
1.917722800522908750e+15,3.143300000000000261e-02,4.629500000000000282e-02,-5.736999999999999912e-03,1.152461207477901262e+00,9.936577058662010131e+00,-5.896187925220987003e-01
1.917722805466756000e+15,3.356900000000000162e-02,4.417399999999999799e-02,-4.683999999999999796e-03,1.155839351726226205e+00,9.954498833427523508e+00,-5.862412223478553619e-01
1.917722810380086000e+15,3.356900000000000162e-02,4.417399999999999799e-02,-3.615999999999999857e-03,1.154512999704070397e+00,9.939337429615351382e+00,-5.803834292329235200e-01
1.917722815323934000e+15,3.250100000000000211e-02,3.991700000000000109e-02,-2.547999999999999918e-03,1.156124037001137639e+00,9.914664925804755669e+00,-5.812849445834499251e-01
1.917722820267782000e+15,3.250100000000000211e-02,3.778100000000000208e-02,-4.119999999999999856e-04,1.154433759334785092e+00,9.924621059182655358e+00,-5.854123140018289151e-01
1.917722825211628750e+15,3.250100000000000211e-02,3.671300000000000258e-02,-4.119999999999999856e-04,1.146783833230107685e+00,9.931617648076356275e+00,-5.757347406510070487e-01
1.917722830155476750e+15,3.356900000000000162e-02,3.457600000000000257e-02,-1.479999999999999979e-03,1.139197944422037256e+00,9.934753833427523162e+00,-5.792263149269556433e-01
1.917722835068807250e+15,3.462200000000000000e-02,3.245499999999999774e-02,-2.547999999999999918e-03,1.146817713833184316e+00,9.943187285557655741e+00,-5.814951430661079446e-01
1.917722840012655250e+15,3.356900000000000162e-02,3.138699999999999823e-02,-2.547999999999999918e-03,1.153146425921468321e+00,9.946520722235595358e+00,-5.557362034077504287e-01
1.917722844925984750e+15,3.356900000000000162e-02,2.819800000000000084e-02,-4.119999999999999856e-04,1.152892999999999946e+00,9.939756428954291678e+00,-5.389100000000000001e-01
1.917722849900350000e+15,3.356900000000000162e-02,3.031899999999999873e-02,-4.119999999999999856e-04,1.151854963265662946e+00,9.946546373329058000e+00,-5.420160365839660210e-01
1.917722854844198000e+15,3.568999999999999950e-02,2.819800000000000084e-02,-4.119999999999999856e-04,1.159002594295697186e+00,9.965291039108006288e+00,-5.491050195540031487e-01
1.917722859788044750e+15,3.675799999999999901e-02,2.713000000000000134e-02,-4.119999999999999856e-04,1.170363166738338290e+00,9.964526018415412523e+00,-5.629833705049184234e-01
1.917722864731892750e+15,3.462200000000000000e-02,2.606199999999999836e-02,6.409999999999000048e-04,1.163786629490631608e+00,9.952821073997828449e+00,-5.489875367545684615e-01
1.917722869675740750e+15,3.675799999999999901e-02,2.392599999999999935e-02,-4.119999999999000222e-04,1.148666165112512294e+00,9.958796372590411394e+00,-5.363621118505487173e-01
1.917722874619588000e+15,3.996299999999999852e-02,2.180500000000000146e-02,-3.615999999999999857e-03,1.122007110833100008e+00,9.944791925643343689e+00,-5.471525556631190446e-01
1.917722879563436000e+15,3.889499999999999902e-02,2.287300000000000097e-02,-4.119999999999999856e-04,1.131630185517030318e+00,9.918424814680383506e+00,-5.546434814994312124e-01
1.917722884507284000e+15,4.101599999999999691e-02,2.287300000000000097e-02,-3.615999999999999857e-03,1.159431890812762100e+00,9.929334929920768715e+00,-5.522304622236489102e-01
1.917722889451131250e+15,4.208400000000000335e-02,2.073699999999999849e-02,-3.615999999999999857e-03,1.158160018415412384e+00,9.940691185153751164e+00,-5.349051849923379676e-01
1.917722894394979250e+15,4.315200000000000286e-02,1.966899999999999898e-02,-2.547999999999999918e-03,1.146113499919293677e+00,9.933061073997823343e+00,-5.359678520087995945e-01
1.917722899308308750e+15,4.422000000000000236e-02,2.073699999999999849e-02,-3.615999999999999857e-03,1.149390142456948816e+00,9.934201999721370413e+00,-5.647275704192472601e-01
1.917722904252156750e+15,4.208400000000000335e-02,2.073699999999999849e-02,-2.547999999999999918e-03,1.145670960891993495e+00,9.936591944074725902e+00,-5.627691260045062371e-01
1.917722909196004000e+15,4.422000000000000236e-02,1.859999999999999848e-02,-3.615999999999999857e-03,1.144368740816869900e+00,9.936001148157064478e+00,-5.447852591875802508e-01
1.917722914139852000e+15,4.422000000000000236e-02,1.647900000000000059e-02,-3.615999999999999857e-03,1.149730333346818290e+00,9.940292296345679901e+00,-5.499870371581003781e-01
1.917722919083700000e+15,4.422000000000000236e-02,1.541099999999999935e-02,-4.683999999999999796e-03,1.155306593628200984e+00,9.941032758814136727e+00,-5.716472439225971369e-01
1.917722923997030000e+15,4.315200000000000286e-02,1.647900000000000059e-02,-4.683999999999999796e-03,1.164350429128629960e+00,9.939158999965400199e+00,-5.921847152599732933e-01
1.917722928940876750e+15,4.422000000000000236e-02,1.541099999999999935e-02,-3.615999999999999857e-03,1.155396242530361439e+00,9.939595759164472355e+00,-5.921471676556737673e-01
1.917722933884724750e+15,4.208400000000000335e-02,1.327500000000000034e-02,-3.615999999999999857e-03,1.143305796264973972e+00,9.934266648071906403e+00,-5.644547774862819223e-01
1.917722938828572750e+15,3.996299999999999852e-02,1.327500000000000034e-02,-3.615999999999999857e-03,1.150459890812761676e+00,9.930273574147623350e+00,-5.581923725904138767e-01
1.917722943772420000e+15,4.101599999999999691e-02,1.220700000000000084e-02,-3.615999999999999857e-03,1.167048611241081835e+00,9.912315647910496352e+00,-5.599990739978252252e-01
1.917722948716268000e+15,3.996299999999999852e-02,1.008599999999999948e-02,-4.683999999999999796e-03,1.176847388920331028e+00,9.925608667016462050e+00,-5.580728148462493765e-01
1.917722953629598000e+15,3.782699999999999951e-02,1.115400000000000072e-02,-2.547999999999999918e-03,1.160847572333631117e+00,9.936262286184115666e+00,-5.601999999827002030e-01
1.917722958573446000e+15,3.889499999999999902e-02,7.950000000000000469e-03,-2.547999999999999918e-03,1.139605444341330820e+00,9.908033110833100565e+00,-5.786663520895060087e-01
1.917722963517292750e+15,3.996299999999999852e-02,7.950000000000000469e-03,-4.683999999999999796e-03,1.138210443832303076e+00,9.904595998305168791e+00,-5.808429089605725570e-01
1.917722968461140750e+15,3.996299999999999852e-02,4.760999999999999607e-03,-2.547999999999999918e-03,1.137399129575787926e+00,9.917206537081844075e+00,-5.648735924939439768e-01
1.917722973374471250e+15,4.101599999999999691e-02,3.693000000000000102e-03,-1.479999999999999979e-03,1.135018571393942910e+00,9.918384857212519279e+00,-5.678101424223490623e-01
1.917722978318319250e+15,3.889499999999999902e-02,1.556000000000000091e-03,-4.119999999999999856e-04,1.147214277930268089e+00,9.926634463084020865e+00,-5.718187962649742273e-01
1.917722983262166000e+15,3.782699999999999951e-02,4.879999999999000263e-04,1.709000000000000016e-03,1.133896965975686566e+00,9.923898964280851942e+00,-5.683209446797200526e-01
1.917722988206014000e+15,3.996299999999999852e-02,4.879999999999999898e-04,2.776999999999999955e-03,1.129260666819044578e+00,9.912637129575788464e+00,-5.728899260021748097e-01
1.917722993149862000e+15,3.996299999999999852e-02,4.879999999999999898e-04,1.709000000000000016e-03,1.135865370343505765e+00,9.910268333342367342e+00,-5.840926482377695184e-01
1.917722998063192000e+15,3.996299999999999852e-02,-3.769000000000000215e-03,1.709000000000000016e-03,1.142543142439649051e+00,9.918646571028405745e+00,-5.919257141464139282e-01
1.917723003007039250e+15,3.675799999999999901e-02,-6.957999999999999775e-03,-4.119999999999999856e-04,1.142170926820146315e+00,9.914918353170921961e+00,-6.080644795514505985e-01
1.917723007950887250e+15,3.782699999999999951e-02,-9.093999999999999653e-03,6.409999999999000048e-04,1.148672703851736587e+00,9.931488129939067377e+00,-6.154230369966876557e-01
1.917723012894735250e+15,3.782699999999999951e-02,-6.957999999999999775e-03,1.709000000000000016e-03,1.149871166572475678e+00,9.938088055412100275e+00,-6.165625370818439421e-01
1.917723017838582000e+15,3.782699999999999951e-02,-5.890000000000000270e-03,-4.119999999999999856e-04,1.154475609746418163e+00,9.923055167608950455e+00,-6.297619429848860806e-01
1.917723022751912000e+15,3.889499999999999902e-02,-9.093999999999999653e-03,-4.119999999999999856e-04,1.147844429284823109e+00,9.915904428675663240e+00,-6.233044293021230420e-01
1.917723027695760000e+15,3.675799999999999901e-02,-1.016199999999999916e-02,1.709000000000000016e-03,1.129086444336880879e+00,9.918835444502743570e+00,-6.221520371625502976e-01
1.917723032639608000e+15,3.568999999999999950e-02,-1.123000000000000040e-02,4.912999999999999833e-03,1.142898833593387176e+00,9.920432944422035604e+00,-6.207032961842677832e-01
1.917723037583455250e+15,3.356900000000000162e-02,-1.123000000000000040e-02,2.776999999999999955e-03,1.161459684667830450e+00,9.898197262131496643e+00,-6.139838148627981829e-01
