# timestamp,gyro_x,gyro_y,gyro_z,acce_x,acce_y,acce_z
1.219931025949888000e+15,9.658999999999999184e-03,-2.906800000000000009e-02,2.853000000000000067e-03,5.423229628374496292e-01,9.830477851842937653e+00,1.470617573912668785e+00
1.219931030893735000e+15,1.072700000000000042e-02,-2.800000000000000058e-02,1.784999999999999911e-03,5.331283706524493349e-01,9.829971000000000458e+00,1.468317258317055618e+00
1.219931035837583000e+15,9.658999999999999184e-03,-3.118900000000000144e-02,2.853000000000000067e-03,5.443110001658627572e-01,9.821377685073043651e+00,1.480286648237769676e+00
1.219931040781431000e+15,8.590999999999999678e-03,-3.118900000000000144e-02,1.784999999999999911e-03,5.485904073401932646e-01,9.814660425921468700e+00,1.468204555331393601e+00
1.219931045694761000e+15,6.453999999999999668e-03,-3.012099999999999847e-02,1.784999999999999911e-03,5.464781427701782546e-01,9.811329285870883155e+00,1.446566286166815596e+00
1.219931050608091000e+15,5.401999999999999684e-03,-2.906800000000000009e-02,1.784999999999999911e-03,5.576737137812848299e-01,9.800467286149515900e+00,1.438526857212521826e+00
1.219931055521421000e+15,3.265000000000000107e-03,-2.693200000000000108e-02,2.853000000000000067e-03,5.668267141983135415e-01,9.802605713850484292e+00,1.466230284252431515e+00
1.219931060465269000e+15,4.333000000000000046e-03,-2.906800000000000009e-02,2.853000000000000067e-03,5.574636273361615046e-01,9.812112963628727869e+00,1.462348235265169105e+00
1.219931065409116000e+15,7.523000000000000173e-03,-3.225700000000000095e-02,-3.359999999999999814e-04,5.598621853196134035e-01,9.823000314926956023e+00,1.440739222186442570e+00
1.219931070352964000e+15,6.453999999999999668e-03,-3.118900000000000144e-02,-3.359999999999999814e-04,5.596034443413309134e-01,9.818032296148263782e+00,1.453132629817907029e+00
1.219931075296812000e+15,5.401999999999999684e-03,-3.118900000000000144e-02,1.784999999999999911e-03,5.582084454063809265e-01,9.829202837550800709e+00,1.450434663780857392e+00
1.219931080240659000e+15,6.453999999999999668e-03,-3.118900000000000144e-02,1.784999999999999911e-03,5.711416112366318742e-01,9.842017944422037701e+00,1.436715314765542928e+00
1.219931085184507000e+15,6.453999999999999668e-03,-3.225700000000000095e-02,2.853000000000000067e-03,5.672844813380184537e-01,9.829408907259487904e+00,1.434255574078531437e+00
1.219931090128355000e+15,8.590999999999999678e-03,-3.225700000000000095e-02,7.169999999999999724e-04,5.622199636287287250e-01,9.814122739260135120e+00,1.430733888076026306e+00
1.219931095072202000e+15,7.523000000000000173e-03,-3.332500000000000046e-02,2.852999999999899887e-03,5.610804629181560532e-01,9.824823537243256411e+00,1.417964203573613080e+00
1.219931100016050000e+15,6.453999999999999668e-03,-3.332500000000000046e-02,7.169999999999999724e-04,5.509730184198623482e-01,9.832089166608479758e+00,1.401291536915981295e+00
1.219931104929380000e+15,8.590999999999999678e-03,-3.439299999999999996e-02,1.784999999999999911e-03,5.344217148424794672e-01,9.834587856847392118e+00,1.402614142439648992e+00
1.219931109873228000e+15,1.072700000000000042e-02,-3.225700000000000095e-02,1.784999999999999911e-03,5.365247985162162614e-01,9.844102778888789373e+00,1.403275258076554621e+00
1.219931114817075000e+15,1.178000000000000054e-02,-3.332500000000000046e-02,1.784999999999999911e-03,5.730372966729559980e-01,9.832119851645520825e+00,1.396449611075219144e+00
1.219931119760923000e+15,8.590999999999999678e-03,-3.439299999999999996e-02,1.784999999999999911e-03,5.899845554972563688e-01,9.822797814846250475e+00,1.404027037162550506e+00
1.219931124704771000e+15,9.658999999999999184e-03,-3.332500000000000046e-02,1.784999999999999911e-03,5.677663107444466117e-01,9.825960481777652689e+00,1.407387888076026883e+00
1.219931129648618000e+15,6.453999999999999668e-03,-3.332500000000000046e-02,7.169999999999999724e-04,5.554580555779627948e-01,9.829039055582411422e+00,1.386717221989025584e+00
1.219931134561948000e+15,6.453999999999999668e-03,-3.332500000000000046e-02,1.784999999999999911e-03,5.635765710803060102e-01,9.834332856951192525e+00,1.383721285192119899e+00
1.219931139505796000e+15,7.523000000000000173e-03,-3.225700000000000095e-02,-3.359999999999999814e-04,5.642425554972564372e-01,9.833715277732851590e+00,1.395885444502743544e+00
1.219931144449644000e+15,5.401999999999999684e-03,-2.906800000000000009e-02,-1.404000000000000083e-03,5.739887620715203864e-01,9.849372929847344693e+00,1.388890201483783837e+00
1.219931149393491000e+15,4.333000000000000046e-03,-3.225700000000000095e-02,7.169999999999999724e-04,5.857376296564943408e-01,9.835747370016230562e+00,1.372989259151575769e+00
1.219931154337339000e+15,4.333000000000000046e-03,-3.439299999999999996e-02,-3.359999999999000180e-04,5.965414630840187860e-01,9.825231037162550862e+00,1.373743259348993107e+00
1.219931159250669000e+15,4.333000000000000046e-03,-3.439299999999999996e-02,-3.359999999999999814e-04,5.979485717071720829e-01,9.833046999965400659e+00,1.378845000000000098e+00
1.219931164194517000e+15,4.333000000000000046e-03,-3.651399999999999785e-02,7.169999999999999724e-04,5.959092407677177849e-01,9.830465036996688610e+00,1.374035981418724850e+00
1.219931169138364000e+15,4.333000000000000046e-03,-3.332500000000000046e-02,-1.404000000000000083e-03,5.943504633867108256e-01,9.838822368910889793e+00,1.388679349356482851e+00
1.219931174082212000e+15,3.265000000000000107e-03,-3.225700000000000095e-02,-1.404000000000000083e-03,5.937730555779627828e-01,9.836765388758918149e+00,1.393256110994512742e+00
1.219931179026060000e+15,2.197000000000000168e-03,-3.439299999999999996e-02,7.169999999999999724e-04,5.936715185005687623e-01,9.841403426082880657e+00,1.380442499919293686e+00
1.219931183969907000e+15,4.333000000000000046e-03,-3.758199999999999735e-02,-1.404000000000000083e-03,5.957435366132891597e-01,9.847917611441252106e+00,1.379979869805032511e+00
1.219931188883237000e+15,3.265000000000000107e-03,-3.758199999999999735e-02,-3.359999999999000180e-04,6.000871427528784441e-01,9.831080857908588655e+00,1.383040999999999965e+00
1.219931193827085000e+15,3.265000000000000107e-03,-3.865099999999999786e-02,7.169999999999999724e-04,6.122753705093684218e-01,9.837663778010973914e+00,1.393692944583450055e+00
1.219931198770933000e+15,3.265000000000000107e-03,-4.077100000000000168e-02,-3.540000000000000178e-03,6.208703333423681858e-01,9.859164555663120666e+00,1.412247944583449932e+00
1.219931203714780000e+15,6.100000000000029010e-05,-4.077100000000000168e-02,-3.359999999999999814e-04,6.079816685030907664e-01,9.873190165582796496e+00,1.429085887664606203e+00
1.219931208658628000e+15,1.129000000000000012e-03,-4.184000000000000219e-02,2.852999999999899887e-03,5.925366480763566424e-01,9.898295074325099918e+00,1.443274407506055956e+00
1.219931213602476000e+15,4.333000000000000046e-03,-4.504400000000000071e-02,2.853000000000000067e-03,5.870800925746503252e-01,9.906724648071906003e+00,1.443723796228969514e+00
1.219931218515806000e+15,5.401999999999999684e-03,-4.290800000000000169e-02,2.853000000000000067e-03,5.870885713762357128e-01,9.904447714181014106e+00,1.438866857195221893e+00
1.219931223459653000e+15,7.523000000000000173e-03,-4.184000000000000219e-02,3.922000000000000139e-03,5.782419642808526161e-01,9.913550406371596679e+00,1.450814183442367789e+00
1.219931228403501000e+15,1.284800000000000005e-02,-4.184000000000000219e-02,4.989999999999999644e-03,5.680140369966876213e-01,9.923276259312988401e+00,1.479495685436323926e+00
1.219931233347349000e+15,1.605200000000000030e-02,-4.290800000000000169e-02,2.853000000000000067e-03,5.825558705900747425e-01,9.909152981257310699e+00,1.502017129737200696e+00
1.219931238291196000e+15,2.137800000000000117e-02,-4.397600000000000120e-02,1.784999999999999911e-03,5.709927255182047912e-01,9.901567777070770404e+00,1.505041037460706166e+00
1.219931243204526000e+15,2.456699999999999856e-02,-4.077100000000000168e-02,2.853000000000000067e-03,5.312522868282814059e-01,9.896153143327435231e+00,1.491455000574559708e+00
1.219931248148374000e+15,2.563500000000000154e-02,-4.184000000000000219e-02,3.922000000000000139e-03,5.100224073446432138e-01,9.889913333342368773e+00,1.488487351923643232e+00
1.219931253092222000e+15,2.882399999999999893e-02,-4.077100000000000168e-02,1.784999999999999911e-03,5.174567038472865921e-01,9.877366240570299993e+00,1.474699221989025588e+00
1.219931258005552000e+15,3.096000000000000141e-02,-3.544599999999999834e-02,1.784999999999999911e-03,5.321154282409282787e-01,9.875540571028405878e+00,1.465547856933892001e+00
1.219931262979917000e+15,3.096000000000000141e-02,-3.225700000000000095e-02,2.853000000000000067e-03,5.242104978615360622e-01,9.881095871190593627e+00,1.468628000000000045e+00
1.219931267893247000e+15,3.309600000000000042e-02,-2.800000000000000058e-02,3.922000000000000139e-03,5.227051424565416493e-01,9.888368571045708322e+00,1.466918857229821516e+00
1.219931272837095000e+15,3.521699999999999831e-02,-2.372700000000000156e-02,3.922000000000000139e-03,5.317025370773940107e-01,9.883360629490631766e+00,1.488657370670781299e+00
1.219931277780942000e+15,3.628499999999999781e-02,-1.947000000000000119e-02,3.922000000000000139e-03,5.016909859081399858e-01,9.882334258317056808e+00,1.511238351098041610e+00
1.219931282724790000e+15,3.948999999999999733e-02,-1.414499999999999959e-02,2.853000000000000067e-03,4.787559074208995735e-01,9.901521481665291446e+00,1.501225333149400987e+00
1.219931287668638000e+15,3.948999999999999733e-02,-1.095600000000000046e-02,7.110999999999900387e-03,4.750555554972563099e-01,9.916439444502744394e+00,1.489051518496118831e+00
1.219931292612485000e+15,4.267900000000000166e-02,-9.887999999999999221e-03,7.111000000000000133e-03,4.713994259727293246e-01,9.916662037460703516e+00,1.517674625533112165e+00
1.219931297556333000e+15,4.693599999999999856e-02,-8.819999999999999715e-03,6.058000000000000017e-03,4.680534629226060228e-01,9.907149592498393886e+00,1.506525258824300328e+00
1.219931302500181000e+15,5.013999999999999707e-02,-7.751000000000000077e-03,6.058000000000000017e-03,4.599166480719066863e-01,9.903511055577963518e+00,1.471144629490631406e+00
1.219931307413511000e+15,5.119300000000000239e-02,-6.682999999999999705e-03,9.247000000000000011e-03,4.767871417781829879e-01,9.892813572037699288e+00,1.458114571689465233e+00
